key,title,authors,year,type,url,doi,claim,access,access_date
friedman1971,Government Revenue from Inflation,"Friedman, Milton",1971,article,https://www.journals.uchicago.edu/doi/10.1086/259791,10.1086/259791,Seigniorage revenue depends on monetary demand and inflation; not GDP alone.,Primary landing page and abstract; full text not independently verified,2026-09-08
bailey1956,The Welfare Cost of Inflationary Finance,"Bailey, Martin J.",1956,article,https://www.journals.uchicago.edu/doi/abs/10.1086/257766,10.1086/257766,Inflationary finance has a real-balance distortion; foundational precedent.,Primary landing page and abstract; full text not independently verified,2026-09-08
sargent1981,Some Unpleasant Monetarist Arithmetic,"Sargent, Thomas J. and Wallace, Neil",1981,article,https://www.minneapolisfed.org/research/quarterly-review/some-unpleasant-monetarist-arithmetic,10.21034/qr.531,Fiscal commitments restrict feasible monetary policy.,Primary landing page and abstract; full text not independently verified,2026-09-08
buiter2014,The Simple Analytics of Helicopter Money: Why It Works---Always,"Buiter, Willem H.",2014,article,https://www.degruyterbrill.com/document/doi/10.5018/economics-ejournal.ja.2014-28/html,10.5018/economics-ejournal.ja.2014-28,Helicopter-money analysis is conditional; not evidence for unlimited tax replacement.,Primary landing page and abstract; full text not independently verified,2026-09-08
godley2007,"Monetary Economics: An Integrated Approach to Credit, Money, Income, Production and Wealth","Godley, Wynne and Lavoie, Marc",2007,book,https://link.springer.com/book/10.1057/9780230626546,10.1057/9780230626546,"Stock-flow accounting methodology, not a source for the particular behavioural equations.",Publisher bibliographic record and description,2026-09-08
mcleay2014,Money Creation in the Modern Economy,"McLeay, Michael and Radia, Amar and Thomas, Ryland",2014,article,https://www.bankofengland.co.uk/quarterly-bulletin/2014/q1/money-creation-in-the-modern-economy,,Commercial bank lending creates deposits; controlling notes/CBDC does not control broad money.,Official explanatory article,2026-09-08
agarwal2015,Breaking Through the Zero Lower Bound,"Agarwal, Ruchir and Kimball, Miles",2015,techreport,https://www.imf.org/en/publications/wp/issues/2016/12/31/breaking-through-the-zero-lower-bound-43358,10.5089/9781513567327.001,Cash substitution constrains negative-rate designs; electronic-money proposals have precedents.,Primary landing page and abstract; full text not independently verified,2026-09-08
acemoglu2018,"Artificial Intelligence, Automation and Work","Acemoglu, Daron and Restrepo, Pascual",2018,techreport,https://www.nber.org/papers/w24196,10.3386/w24196,"Displacement, productivity and creation of new tasks are distinct channels.",Primary landing page and abstract; full text not independently verified,2026-09-08
acemoglu2024,The Simple Macroeconomics of AI,"Acemoglu, Daron",2024,techreport,https://www.nber.org/papers/w32487,10.3386/w32487,A counterweight to abundance scenarios: limited near-term aggregate productivity effects.,Primary landing page and abstract; full text not independently verified,2026-09-08
trammell2026,Economic Growth under Transformative AI,"Trammell, Philip and Korinek, Anton",2026,article,https://www.annualreviews.org/content/journals/10.1146/annurev-economics-051624-061002,10.1146/annurev-economics-051624-061002,Full-automation growth and labour-share outcomes are conditional on substitutability and bottlenecks.,Publisher abstract and bibliographic record; full text not independently verified,2026-09-08
restrepo2025,We Won't Be Missed: Work and Growth in the AGI World,"Restrepo, Pascual",2025,techreport,https://www.nber.org/papers/w34423,10.3386/w34423,Distinguishes bottleneck and supplementary task automation; labour-share collapse is conditional.,Primary landing page and abstract; full text not independently verified,2026-09-08
korinek2026,Public Finance in the Age of AI: A Primer,"Korinek, Anton and Lockwood, Lee",2026,techreport,https://www.nber.org/papers/w34873,10.3386/w34873,AI changes tax bases and the case for capital ownership; tax obsolescence is not automatic.,Primary landing page and abstract; full text not independently verified,2026-09-08
