k0,elasticity,growth,inflation,demurrage,k,net,burn,gross
0.2,1,0.01,0.02,0,0.196039734661,0.00574684525992,0,0.00574684525992
0.2,1,0.01,0.02,0.005,0.195061982406,0.00571818274961,0.00094671899828,0.00666490174789
0.2,1,0.01,0.02,0.01,0.19408910671,0.00568966319417,0.00188399443516,0.00757365762932
0.2,1,0.01,0.02,0.015,0.193121083252,0.0056612858806,0.00281189696056,0.00847318284117
0.2,1,0.01,0.02,0.02,0.19215788783,0.00563305009948,0.00373049675462,0.0093635468541
0.2,1,0.01,0.02,0.025,0.191199496367,0.0056049551449,0.00463986353054,0.0102448186754
0.2,1,0.01,0.02,0.03,0.1902458849,0.00557700031449,0.00554006653757,0.0111170668521
0.2,1,0.01,0.02,0.035,0.189297029591,0.00554918490938,0.00643117456385,0.0119803594732
0.2,1,0.01,0.02,0.04,0.188352906717,0.00552150823418,0.00731325593931,0.0128347641735
0.2,1,0.01,0.02,0.045,0.187413492675,0.00549396959697,0.00818637853853,0.0136803481355
0.2,1,0.01,0.02,0.05,0.186478763981,0.00546656830929,0.00905060978359,0.0145171780929
0.2,1,0.01,0.02,0.055,0.185548697266,0.0054393036861,0.00990601664688,0.015345320333
0.2,1,0.01,0.02,0.06,0.184623269277,0.00541217504579,0.0107526656539,0.0161648406997
0.2,1,0.01,0.02,0.065,0.18370245688,0.00538518171014,0.0115906228861,0.0169758045962
0.2,1,0.01,0.02,0.07,0.182786237054,0.00535832300431,0.0124199539835,0.0177782769878
0.2,1,0.01,0.02,0.075,0.181874586894,0.00533159825683,0.0132407241478,0.0185723224046
0.2,1,0.01,0.02,0.08,0.180967483607,0.00530500679959,0.0140529981446,0.0193580049442
0.2,1,0.01,0.02,0.085,0.180064904517,0.00527854796779,0.0148568403067,0.0201353882745
0.2,1,0.01,0.02,0.09,0.179166827059,0.00525222109997,0.0156523145363,0.0209045356363
0.2,1,0.01,0.02,0.095,0.178273228781,0.00522602553795,0.0164394843081,0.0216655098461
0.2,1,0.01,0.02,0.1,0.177384087343,0.00519996062684,0.0172184126717,0.0224183732985
0.2,1,0.01,0.02,0.105,0.176499380517,0.00517402571502,0.0179891622542,0.0231631879692
0.2,1,0.01,0.02,0.11,0.175619086184,0.00514822015411,0.0187517952633,0.0239000154174
0.2,1,0.01,0.02,0.115,0.174743182338,0.00512254329897,0.0195063734894,0.0246289167884
0.2,1,0.01,0.02,0.12,0.17387164708,0.00509699450768,0.0202529583087,0.0253499528163
0.2,1,0.01,0.02,0.125,0.173004458622,0.00507157314152,0.0209916106851,0.0260631838266
0.2,1,0.01,0.02,0.13,0.172141595285,0.00504627856495,0.0217223911736,0.0267686697386
0.2,1,0.01,0.02,0.135,0.171283035497,0.0050211101456,0.0224453599224,0.027466470068
0.2,1,0.01,0.02,0.14,0.170428757793,0.00499606725428,0.0231605766755,0.0281566439297
0.2,1,0.01,0.02,0.145,0.169578740818,0.00497114926489,0.0238681007751,0.02883925004
0.2,1,0.01,0.02,0.15,0.168732963319,0.0049463555545,0.0245679911647,0.0295143467192
0.2,1,0.01,0.02,0.155,0.167891404154,0.00492168550325,0.0252603063908,0.0301819918941
0.2,1,0.01,0.02,0.16,0.167054042282,0.00489713849439,0.0259451046061,0.0308422431005
0.2,1,0.01,0.02,0.165,0.16622085677,0.00487271391426,0.0266224435713,0.0314951574855
0.2,1,0.01,0.02,0.17,0.165391826789,0.00484841115222,0.0272923806582,0.0321407918104
0.2,1,0.01,0.02,0.175,0.164566931611,0.00482422960072,0.0279549728518,0.0327792024526
0.2,1,0.01,0.02,0.18,0.163746150616,0.0048001686552,0.0286102767529,0.0334104454081
0.2,1,0.01,0.02,0.185,0.162929463282,0.00477622771416,0.0292583485801,0.0340345762943
0.2,1,0.01,0.02,0.19,0.162116849194,0.00475240617905,0.0298992441728,0.0346516503519
0.2,1,0.01,0.02,0.195,0.161308288035,0.00472870345435,0.0305330189933,0.0352617224477
0.2,1,0.01,0.02,0.2,0.160503759592,0.00470511894748,0.031159728129,0.0358648470765
0.2,1,0.01,0.02,0.205,0.159703243752,0.00468165206883,0.031779426295,0.0364610783639
0.2,1,0.01,0.02,0.21,0.158906720501,0.00465830223172,0.0323921678365,0.0370504700682
0.2,1,0.01,0.02,0.215,0.158114169926,0.00463506885241,0.0329980067308,0.0376330755832
0.2,1,0.01,0.02,0.22,0.157325572213,0.00461195135007,0.0335969965899,0.03820894794
0.2,1,0.01,0.02,0.225,0.156540907648,0.00458894914675,0.0341891906629,0.0387781398096
0.2,1,0.01,0.02,0.23,0.155760156614,0.0045660616674,0.0347746418378,0.0393407035052
0.2,1,0.01,0.02,0.235,0.154983299592,0.00454328833982,0.0353534026443,0.0398966909841
0.2,1,0.01,0.02,0.24,0.154210317161,0.00452062859469,0.0359255252558,0.0404461538505
0.2,1,0.01,0.02,0.245,0.153441189995,0.00449808186552,0.0364910614918,0.0409891433573
0.2,1,0.01,0.02,0.25,0.152675898867,0.00447564758862,0.0370500628197,0.0415257104083
0.2,1,0.01,0.02,0.255,0.151914424645,0.00445332520314,0.0376025803577,0.0420559055608
0.2,1,0.01,0.02,0.26,0.151156748291,0.00443111415103,0.0381486648764,0.0425797790275
0.2,1,0.01,0.02,0.265,0.150402850864,0.004409013877,0.0386883668015,0.0430973806785
0.2,1,0.01,0.02,0.27,0.149652713516,0.00438702382855,0.0392217362155,0.0436087600441
0.2,1,0.01,0.02,0.275,0.148906317493,0.00436514345593,0.0397488228602,0.0441139663162
0.2,1,0.01,0.02,0.28,0.148163644136,0.00434337221211,0.0402696761388,0.0446130483509
0.2,1,0.01,0.02,0.285,0.147424674878,0.00432170955283,0.0407843451178,0.0451060546706
0.2,1,0.01,0.02,0.29,0.146689391245,0.00430015493651,0.0412928785294,0.0455930334659
0.2,1,0.01,0.02,0.295,0.145957774854,0.00427870782429,0.0417953247737,0.046074032598
0.2,1,0.01,0.02,0.3,0.145229807415,0.00425736767999,0.0422917319204,0.0465490996004
0.2,1,0.01,0.02,0.305,0.144505470728,0.0042361339701,0.0427821477113,0.0470182816814
0.2,1,0.01,0.02,0.31,0.143784746686,0.00421500616378,0.043266619562,0.0474816257258
0.2,1,0.01,0.02,0.315,0.143067617271,0.00419398373284,0.0437451945644,0.0479391782972
0.2,1,0.01,0.02,0.32,0.142354064553,0.0041730661517,0.0442179194883,0.04839098564
0.2,1,0.01,0.02,0.325,0.141644070694,0.00415225289744,0.0446848407837,0.0488370936812
0.2,1,0.01,0.02,0.33,0.140937617944,0.00413154344972,0.045146004583,0.0492775480327
0.2,1,0.01,0.02,0.335,0.140234688642,0.0041109372908,0.0456014567026,0.0497123939934
0.2,1,0.01,0.02,0.34,0.139535265214,0.00409043390552,0.046051242645,0.0501416765505
0.2,1,0.01,0.02,0.345,0.138839330176,0.00407003278131,0.046495407601,0.0505654403823
0.2,1,0.01,0.02,0.35,0.138146866127,0.00404973340812,0.0469339964518,0.0509837298599
0.2,1,0.01,0.02,0.355,0.137457855758,0.00402953527849,0.0473670537703,0.0513965890488
0.2,1,0.01,0.02,0.36,0.136772281842,0.00400943788744,0.0477946238238,0.0518040617113
0.2,1,0.01,0.02,0.365,0.136090127241,0.00398944073255,0.0482167505756,0.0522061913081
0.2,1,0.01,0.02,0.37,0.1354113749,0.00396954331389,0.0486334776867,0.0526030210006
0.2,1,0.01,0.02,0.375,0.13473600785,0.00394974513402,0.0490448485184,0.0529945936524
0.2,1,0.01,0.02,0.38,0.134064009207,0.00393004569798,0.0494509061335,0.0533809518315
0.2,1,0.01,0.02,0.385,0.133395362172,0.00391044451328,0.0498516932985,0.0537621378118
0.2,1,0.01,0.02,0.39,0.132730050027,0.00389094108991,0.0502472524856,0.0541381935755
0.2,1,0.01,0.02,0.395,0.132068056141,0.00387153494026,0.0506376258743,0.0545091608146
0.2,1,0.01,0.02,0.4,0.131409363963,0.00385222557919,0.0510228553535,0.0548750809327
0.2,1,0.03,0.02,0,0.196039734661,0.00944185282112,0,0.00944185282112
0.2,1,0.03,0.02,0.005,0.195061982406,0.00939476138371,0.00092833610511,0.0103230974888
0.2,1,0.03,0.02,0.01,0.19408910671,0.00934790481583,0.00184741201894,0.0111953168348
0.2,1,0.03,0.02,0.015,0.193121083252,0.00930128194606,0.00275729701958,0.0120585789656
0.2,1,0.03,0.02,0.02,0.19215788783,0.00925489160882,0.00365805992443,0.0129129515332
0.2,1,0.03,0.02,0.025,0.191199496367,0.00920873264435,0.00454976909306,0.0137585017374
0.2,1,0.03,0.02,0.03,0.1902458849,0.00916280389867,0.00543249243004,0.0145952963287
0.2,1,0.03,0.02,0.035,0.189297029591,0.00911710422358,0.00630629738785,0.0154234016114
0.2,1,0.03,0.02,0.04,0.188352906717,0.00907163247656,0.00717125096961,0.0162428834462
0.2,1,0.03,0.02,0.045,0.187413492675,0.00902638752083,0.00802741973196,0.0170538072528
0.2,1,0.03,0.02,0.05,0.186478763981,0.00898136822525,0.0088748697878,0.017856238013
0.2,1,0.03,0.02,0.055,0.185548697266,0.00893657346435,0.00971366680907,0.0186502402734
0.2,1,0.03,0.02,0.06,0.184623269277,0.00889200211825,0.0105438760295,0.0194358781478
0.2,1,0.03,0.02,0.065,0.18370245688,0.00884765307267,0.0113655622475,0.0202132153202
0.2,1,0.03,0.02,0.07,0.182786237054,0.00880352521887,0.0121787898285,0.0209823150473
0.2,1,0.03,0.02,0.075,0.181874586894,0.00875961745366,0.012983622708,0.0217432401617
0.2,1,0.03,0.02,0.08,0.180967483607,0.00871592867935,0.0137801243942,0.0224960530736
0.2,1,0.03,0.02,0.085,0.180064904517,0.00867245780371,0.0145683579707,0.0232408157744
0.2,1,0.03,0.02,0.09,0.179166827059,0.00862920373996,0.0153483860987,0.0239775898387
0.2,1,0.03,0.02,0.095,0.178273228781,0.00858616540676,0.0161202710206,0.0247064364273
0.2,1,0.03,0.02,0.1,0.177384087343,0.00854334172813,0.0168840745615,0.0254274162897
0.2,1,0.03,0.02,0.105,0.176499380517,0.0085007316335,0.0176398581328,0.0261405897663
0.2,1,0.03,0.02,0.11,0.175619086184,0.0084583340576,0.0183876827339,0.0268460167915
0.2,1,0.03,0.02,0.115,0.174743182338,0.00841614794049,0.0191276089557,0.0275437568962
0.2,1,0.03,0.02,0.12,0.17387164708,0.00837417222752,0.0198596969823,0.0282338692098
0.2,1,0.03,0.02,0.125,0.173004458622,0.00833240586929,0.0205840065941,0.0289164124634
0.2,1,0.03,0.02,0.13,0.172141595285,0.00829084782165,0.0213005971702,0.0295914449919
0.2,1,0.03,0.02,0.135,0.171283035497,0.00824949704563,0.0220095276909,0.0302590247365
0.2,1,0.03,0.02,0.14,0.170428757793,0.00820835250746,0.02271085674,0.0309192092475
