delta,year,distributable_profit,user_share,user_dividend,matched_levy_transfer,old_owners_dividend
0.005,1,103,0.00497512437811,0.512437810945,0.512437810945,102.487562189
0.005,2,106.09,0.00992549689364,1.05299596545,1.05299596545,105.037004035
0.005,3,109.2727,0.0148512406902,1.62283516857,1.62283516857,107.649864831
0.005,4,112.550881,0.0197524782987,2.22315883445,2.22315883445,110.327722166
0.005,5,115.92740743,0.0246293316405,2.85521456382,2.85521456382,113.072192866
0.005,6,119.405229653,0.0294819220303,3.52029567064,3.52029567064,115.884933982
0.005,7,122.987386542,0.0343103701794,4.21974275968,4.21974275968,118.767643783
0.005,8,126.677008139,0.0391147961985,4.95494535638,4.95494535638,121.722062782
0.005,9,130.477318383,0.0438953196004,5.72734359103,5.72734359103,124.749974792
0.005,10,134.391637934,0.0486520593039,6.53842993874,6.53842993874,127.853207996
0.005,11,138.423387072,0.0533851336358,7.38975101718,7.38975101718,131.033636055
0.005,12,142.576088685,0.0580946603341,8.28290944389,8.28290944389,134.293179241
0.005,13,146.853371345,0.0627807565513,9.21956575516,9.21956575516,137.63380559
0.005,14,151.258972486,0.067443538857,10.2014403883,10.2014403883,141.057532097
0.005,15,155.79674166,0.0720831232408,11.2303157296,11.2303157296,144.56642593
0.005,16,160.47064391,0.0766996251153,12.3080382299,12.3080382299,148.16260568
0.005,17,165.284763227,0.0812931593187,13.43652059,13.43652059,151.848242637
0.005,18,170.243306124,0.0858638401181,14.6177440182,14.6177440182,155.625562106
0.005,19,175.350605308,0.090411781212,15.8537605625,15.8537605625,159.496844745
0.005,20,180.611123467,0.0949370957333,17.1466955191,17.1466955191,163.464427948
0.005,21,186.029457171,0.0994398962521,18.4987499209,18.4987499209,167.53070725
0.005,22,191.610340886,0.103920294778,19.9122031074,19.9122031074,171.698137779
0.005,23,197.358651113,0.108378402764,21.3894153793,21.3894153793,175.969235733
0.005,24,203.279410646,0.112814331109,22.9328307402,22.9328307402,180.346579906
0.005,25,209.377792965,0.117228190158,24.5449797286,24.5449797286,184.832813237
0.005,26,215.659126754,0.121620089709,26.2284823425,26.2284823425,189.430644412
0.005,27,222.128900557,0.125990139014,27.9860510603,27.9860510603,194.142849497
0.005,28,228.792767574,0.130338446781,29.8204939602,29.8204939602,198.972273614
0.005,29,235.656550601,0.134665121175,31.7347179423,31.7347179423,203.921832659
0.005,30,242.726247119,0.138970269826,33.7317320559,33.7317320559,208.994515063
0.005,31,250.008034533,0.143253999826,35.8146509355,35.8146509355,214.193383597
0.005,32,257.508275569,0.147516417738,37.9866983497,37.9866983497,219.521577219
0.005,33,265.233523836,0.15175762959,40.251210865,40.251210865,224.982312971
0.005,34,273.190529551,0.155977740885,42.6116416306,42.6116416306,230.57888792
0.005,35,281.386245437,0.160176856602,45.0715642852,45.0715642852,236.314681152
0.005,36,289.8278328,0.164355081196,47.6346769928,47.6346769928,242.193155807
0.005,37,298.522667784,0.168512518603,50.3048066085,50.3048066085,248.217861176
0.005,38,307.478347818,0.172649272242,53.0859129809,53.0859129809,254.392434837
0.005,39,316.702698252,0.176765445017,55.9820933947,55.9820933947,260.720604858
0.005,40,326.2037792,0.18086113932,58.9975871567,58.9975871567,267.206192043
0.005,41,335.989892576,0.184936457035,62.1367803326,62.1367803326,273.853112243
0.005,42,346.069589353,0.188991499538,65.4042106362,65.4042106362,280.665378717
0.005,43,356.451677034,0.193026367699,68.8045724781,68.8045724781,287.647104556
0.005,44,367.145227345,0.19704116189,72.3427221782,72.3427221782,294.802505167
0.005,45,378.159584165,0.20103598198,76.0236833477,76.0236833477,302.135900817
0.005,46,389.50437169,0.205010927343,79.8526524443,79.8526524443,309.651719246
0.005,47,401.189502841,0.208966096859,83.8350045093,83.8350045093,317.354498331
0.005,48,413.225187926,0.212901588914,87.9762990888,87.9762990888,325.248888837
0.005,49,425.621943564,0.216817501407,92.2822863475,92.2822863475,333.339657216
0.005,50,438.390601871,0.220713931748,96.7589133804,96.7589133804,341.63168849
0.01,1,103,0.00990099009901,1.0198019802,1.0198019802,101.98019802
0.01,2,106.09,0.0197039505931,2.09039211842,2.09039211842,103.999607882
0.01,3,109.2727,0.0294098520724,3.21369394255,3.21369394255,106.059006057
0.01,4,112.550881,0.0390196555172,4.39169660478,4.39169660478,108.159184395
0.01,5,115.92740743,0.0485343123933,5.62645700715,5.62645700715,110.300950423
0.01,6,119.405229653,0.0579547647458,6.92010199395,6.92010199395,112.485127659
0.01,7,122.987386542,0.0672819452929,8.27483061306,8.27483061306,114.712555929
