scenario,equity,levy,metric,max_absolute_error
slow,B5,B11,real_gdp,0
slow,B5,B11,inflation,0
slow,B5,B11,mvi_gdp,0
slow,B5,B11,tax_gdp,0
slow,B5,B11,median_income,0
slow,B5,B11,p10_income,0
slow,B5,B11,mean_log_consumption,0
slow,B5,B11,money_gdp,0
slow,B6,B12,real_gdp,0
slow,B6,B12,inflation,0
slow,B6,B12,mvi_gdp,0
slow,B6,B12,tax_gdp,0
slow,B6,B12,median_income,0
slow,B6,B12,p10_income,0
slow,B6,B12,mean_log_consumption,0
slow,B6,B12,money_gdp,0
medium,B5,B11,real_gdp,0
medium,B5,B11,inflation,0
medium,B5,B11,mvi_gdp,0
medium,B5,B11,tax_gdp,0
medium,B5,B11,median_income,0
medium,B5,B11,p10_income,0
medium,B5,B11,mean_log_consumption,0
medium,B5,B11,money_gdp,0
medium,B6,B12,real_gdp,0
medium,B6,B12,inflation,0
medium,B6,B12,mvi_gdp,0
medium,B6,B12,tax_gdp,0
medium,B6,B12,median_income,0
medium,B6,B12,p10_income,0
medium,B6,B12,mean_log_consumption,0
medium,B6,B12,money_gdp,0
fast,B5,B11,real_gdp,0
fast,B5,B11,inflation,0
fast,B5,B11,mvi_gdp,0
fast,B5,B11,tax_gdp,0
fast,B5,B11,median_income,0
fast,B5,B11,p10_income,0
fast,B5,B11,mean_log_consumption,0
fast,B5,B11,money_gdp,0
fast,B6,B12,real_gdp,0
fast,B6,B12,inflation,0
fast,B6,B12,mvi_gdp,0
fast,B6,B12,tax_gdp,0
fast,B6,B12,median_income,0
fast,B6,B12,p10_income,0
fast,B6,B12,mean_log_consumption,0
fast,B6,B12,money_gdp,0
