company,role,users_in_class,use,engagement,creation,score,shares_per_user,post_issue_equity_per_user,illustrative_dividend_eur
AI platform,Consumer,10000,1,0,0,0.35,0.0596194133944,5.84504052886e-08,0.584504052886
AI platform,Intensive consumer,10000,4,1,0,0.95,0.161824122071,1.58651100069e-07,1.58651100069
AI platform,Evaluator,10000,2,3,1,1.64497474683,0.280206941299,2.74712687548e-07,2.74712687548
AI platform,Domain expert,10000,2,3,4,2.84497474683,0.484616358651,4.75114077109e-07,4.75114077109
AI platform,Plugin creator,10000,2,2,5,2.99497474683,0.51016753582,5.00164250804e-07,5.00164250804
AI platform,Prosumer,10000,3,3,4,2.95621778265,0.503565628765,4.93691792907e-07,4.93691792907
Autonomous mobility,Passenger,10000,1,0,0,0.35,0.0611226392054,5.99241560837e-08,0.599241560837
Autonomous mobility,Frequent passenger,10000,4,1,0,0.95,0.165904306415,1.62651280799e-07,1.62651280799
Autonomous mobility,Safety reporter,10000,2,3,1,1.64497474683,0.28727199415,2.81639209951e-07,2.81639209951
Autonomous mobility,Map contributor,10000,2,3,3,2.44497474683,0.426980883762,4.18608709571e-07,4.18608709571
Autonomous mobility,Fleet host,10000,3,2,4,2.70621778265,0.472603351829,4.6333661944e-07,4.6333661944
Autonomous mobility,Local operator,10000,3,3,5,3.35621778265,0.586116824639,5.74624337881e-07,5.74624337881
Household robotics,Household user,10000,1,0,0,0.35,0.0596194133944,5.84504052886e-08,0.584504052886
Household robotics,Intensive user,10000,4,1,0,0.95,0.161824122071,1.58651100069e-07,1.58651100069
Household robotics,Fault reporter,10000,2,3,1,1.64497474683,0.280206941299,2.74712687548e-07,2.74712687548
Household robotics,Accessibility tester,10000,2,3,4,2.84497474683,0.484616358651,4.75114077109e-07,4.75114077109
Household robotics,Skill author,10000,2,2,5,2.99497474683,0.51016753582,5.00164250804e-07,5.00164250804
Household robotics,Repair prosumer,10000,3,3,4,2.95621778265,0.503565628765,4.93691792907e-07,4.93691792907
