year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code
1,2028,0.00191263144382,0.975502840801,1.01067634336,1.01067634336,0.955992783985,0.98,-0.02,0.579081936907,0.964128584633,0.220047815786,3.03465726941,0,0,0,0,0.231883960134,0,0,0.0186868766226,0.0182291012311,0.0193870941771,0.0193870941771,0,0.0308898702262,0.647006894296,1.54557858474,0,0,0.297305353875,0.231883960134,0.251271054311,0.232584177688,0.37927668562,0.743948234083,0.671881201396,0.233401639953,0.382641226942,0.246722080779,-0.814686514264,0.37851662848,0.00130493371084,0,1,0.190242229981,1,-0.0348019450428,-2.32265984268e-16,-1.16132992134e-16,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
2,2029,0.00397057522745,1.02371953733,1.02622277427,1.02622277427,0.983180243653,0.9604,-0.02,0.578094123891,0.995266091665,0.220099264381,3.07789775035,0,0,0,0,0.152551150005,0,0,0.012943326797,0.0132503365202,0.085430903477,0.085430903477,0,0.135795262782,0.714546394893,1.39948925241,0,0,0.195603290313,0.152551150005,0.237982053482,0.225038726685,0.394946030537,0.737135015242,0.660592060675,0.228144251111,0.45905232481,0.257448147018,-0.766999798861,0.408984954361,1.30207246859e-05,0,1,0.384976296518,1,-0.00243927245099,-5.64608082695e-17,5.64608082695e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
3,2030,0.00618367993805,1.0431751699,1.0431751699,1.0431751699,1.0036862514,0.96214545779,0.00181742793649,0.57703183363,0.996417650024,0.220154591998,3.12288368924,0,0,0,0,0.174018876936,0,0,0.0138446780147,0.0144424243402,0.0594266922844,0.0594266922844,0,0.0849016161896,0.75937440767,1.31687345518,0,0,0.22314535054,0.174018876936,0.23344556922,0.219600891205,0.392841782862,0.73402849378,0.654870497993,0.225279011035,0.451104442164,0.260673873531,-0.753515837797,0.426104119046,2.51617045956e-05,0,1,0.578592895086,1,0,0,1.38268186781e-16,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
4,2031,0.00856226692381,1.06062246987,1.06062246987,1.06062246987,1.03202174982,0.973034024019,0.0113169647484,0.575890111877,0.995039679121,0.220214056673,3.16907464457,0,0,0,0,0.204553519468,0,0,0.0157066921161,0.0166588705857,0.0286913013146,0.0286913013146,0,0.0388494759491,0.767216097691,1.30341373572,0,0,0.262320090813,0.204553519468,0.233244820783,0.217538128666,0.3883250094,0.733859495747,0.653220802511,0.224300549121,0.434840235656,0.264290463441,-0.742283407691,0.425466668516,0.000177752080993,0,1,0.770733994674,1,0,2.68943708022e-16,1.34471854011e-16,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
5,2032,0.0111171200807,1.07850265288,1.07850265288,1.07850265288,1.06538254641,0.98783488716,0.0152110437822,0.574663782361,0.993559593114,0.220277928002,3.21650049562,0,0,0,0,0.213942096208,0,0,0.0163395768978,0.0176222770313,0.0191011910631,0.0191011910631,0,0.0257015591301,0.762293110526,1.31183134964,0,0,0.274382506141,0.213942096208,0.233043287272,0.216703710374,0.387175858545,0.734540331665,0.653072193189,0.224059595055,0.434209261703,0.268398980867,-0.729625861537,0.427615239026,0.000248542019575,0,1,0.961505024814,1,0,2.6052215431e-17,-7.81566462931e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
6,2033,0.0138594687037,1.09683149778,1.09683149778,1.09683149778,1.10215074389,1.00484964748,0.0172242958223,0.573347455022,0.991970886613,0.220346486718,3.26519343294,0,0,0,0,0.214918389848,0,0,0.0164424878284,0.018034638552,0.0177989165273,0.0177989165273,0,0.0241549972305,0.754661618577,1.32509720302,0,0,0.275658848689,0.214918389848,0.232717306375,0.216274818546,0.387591202069,0.735341552286,0.653406666974,0.224089067877,0.440014695628,0.27278991272,-0.715658714266,0.431681754383,0.000283210274411,0,1,1.15101346053,1,0,3.27380337948e-16,5.03662058382e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
7,2034,0.016800962325,1.11562577689,1.11562577689,1.11562577689,1.14165261221,1.02332935995,0.0183905249083,0.571935538084,0.99026681077,0.220420024058,3.31518808754,0,0,0,0,0.213790498676,0,0,0.0164188723893,0.018317317265,0.0186555210784,0.0186555210784,0,0.0256063747999,0.747205392905,1.33832010515,0,0,0.274238058024,0.213790498676,0.232446019755,0.216027147366,0.388429656396,0.736074714903,0.653884803172,0.224222170996,0.447560706324,0.277370652555,-0.700784216227,0.437713517102,0.000301951681642,0,1,1.33936894463,1,0,0,0,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
8,2035,0.0199536363932,1.13490330208,1.13490330208,1.13490330208,1.18355131115,1.04286533397,0.0190906024841,0.570422254531,0.98844039317,0.22049884091,3.36652166495,0,0,0,0,0.212238201209,0,0,0.0163788913129,0.0185884578355,0.0200194348043,0.0200194348043,0,0.0277756947443,0.740773136506,1.3499409613,0,0,0.272274388221,0.212238201209,0.232257636013,0.2158787447,0.389377244775,0.736697946363,0.654380665388,0.224388928736,0.455573146122,0.282111208888,-0.685316970241,0.444023392104,0.000312682903186,0,1,1.52668339314,1,0,-2.34510961663e-16,-4.69021923327e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
9,2036,0.023329867599,1.15468296845,1.15468296845,1.15468296845,1.2276775499,1.06321612377,0.0195143026919,0.568801663552,0.986484463707,0.22058324669,3.41923408313,0,0,0,0,0.210753739389,0,0,0.0163541355704,0.0188838418069,0.0213894237788,0.0213894237788,0,0.0299509832071,0.735537057295,1.35955080724,0,0,0.270399293439,0.210753739389,0.232143163168,0.215789027598,0.390345884827,0.737213769388,0.654857124132,0.224558656691,0.463665973933,0.28699775862,-0.669461120248,0.450593006294,0.000319139551785,0,1,1.7130710811,1,0,-2.26081967679e-16,0,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
10,2037,0.0269423176208,1.1749847947,1.1749847947,1.1749847947,1.27396147704,1.08423656441,0.0197706187626,0.567067687542,0.984391687176,0.220673557941,3.47336811331,0,0,0,0,0.209487309715,0,0,0.0163535400237,0.0192151608674,0.0226010200274,0.0226010200274,0,0.0318856638849,0.731415492543,1.36721194751,0,0,0.268805597256,0.209487309715,0.232088329742,0.215734789719,0.391313163534,0.737638876949,0.655274457321,0.224719305492,0.471712102839,0.292025712022,-0.653342533409,0.458588044595,0.000323319605227,0,1,1.89864870552,1,0,2.17868248889e-16,8.71472995557e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
