year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,experiment
1,2028,0.00695643999543,0.989019897071,1.01634339757,1.01634339757,0.96923949913,0.98,-0.02,0.576660908802,0.969194193269,0.220173911,3.03775637879,0,0,0,0,0.379290869938,0,0,0.13278689108,0.131328877348,-0.0158122378933,-0.0287439375891,0.0129316996958,-0.0464329327864,0.590298105723,1.69405930716,0.04,0.0208898568934,0.486378790462,0.379290869938,0.363478632045,0.230691740965,0.316989736778,0.744325255675,0.672873023573,0.233805277863,0.413951914855,0.253341600221,-0.772099598295,0.398702318189,0.00344831994965,0,1,0.195081947192,1,-0.0268841225993,1.07386676515e-16,0,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
2,2029,0.0148127274627,1.03766276966,1.03897597609,1.03897597609,0.996571323978,0.9604,-0.02,0.572889890818,0.990165544909,0.220370318187,3.08416107079,0,0,0,0,0.209756124311,0,0,0.076432091377,0.0793107356288,0.0914498643844,0.0801429474948,0.0113069168895,0.13959543074,0.654251620464,1.52846392538,0.04,0.0196947327604,0.269045842153,0.209756124311,0.301205988695,0.224773897318,0.373912513049,0.737134238591,0.661169335027,0.228483175616,0.499124702315,0.261100146493,-0.728458989923,0.440762302671,0.00421541104092,0,1,0.397293450748,1,-0.00126394302468,-5.57021358087e-17,-5.57021358087e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
3,2030,0.0236626568198,1.06419234044,1.06419234044,1.06419234044,1.02522563028,0.963383771263,0.00310680056501,0.568641924726,0.986291671152,0.22059156642,3.13386326189,0,0,0,0,0.232514233882,0,0,0.082129666541,0.087401762056,0.0689340534443,0.0558100371323,0.0131240163121,0.0877563543313,0.691775803458,1.4455550411,0.04,0.0206363565572,0.298321424127,0.232514233882,0.301448287326,0.219318620785,0.370645491944,0.733693007973,0.655469742285,0.225681228408,0.498285912175,0.265776545267,-0.708211415015,0.463059633978,0.00415005942774,0,1,0.602556159863,1,0,1.42131417395e-16,1.35363254662e-16,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
4,2031,0.0336032988689,1.09145277704,1.09145277704,1.09145277704,1.06546533997,0.976190049064,0.0132930179886,0.563870416543,0.980532825422,0.220840082472,3.18686798747,0,0,0,0,0.266044404917,0,0,0.0919902155833,0.100402976259,0.0430597116743,0.0289217248604,0.0141379868139,0.0434488908562,0.69457104963,1.43973751934,0.04,0.0212393918056,0.341450322241,0.266044404917,0.309104116592,0.217113901008,0.36364698929,0.733038154805,0.653711147358,0.224724843712,0.494773867712,0.27152853569,-0.684839867347,0.474667522571,0.00401101670178,0,1,0.811331357027,1,0,2.60501910052e-17,1.04200764021e-16,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
5,2032,0.0447331081546,1.12096336909,1.12096336909,1.12096336909,1.11288813293,0.992796164097,0.0170111496717,0.558528108086,0.974085067384,0.221118327704,3.24352145381,0,0,0,0,0.275359472461,0,0,0.0951840647657,0.106697849923,0.0361447379305,0.0219426804745,0.014202057456,0.0329978152307,0.686916416497,1.45578119256,0.04,0.0213573208785,0.353531842198,0.275359472461,0.311504210391,0.216320145626,0.363062748626,0.733380077596,0.653510030988,0.22451922209,0.504072359672,0.278425789178,-0.660293927564,0.483047662206,0.00399202646802,0,1,1.02440286376,1,0,-2.02638562857e-16,4.98802616264e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
6,2033,0.0571494119133,1.15299856334,1.15299856334,1.15299856334,1.16616523881,1.01141950726,0.0187584761495,0.552568282282,0.9668920131,0.221428735298,3.30421718027,0,0,0,0,0.27678776013,0,0,0.0973260252836,0.112216767327,0.0364873886706,0.0225097027061,0.0139776859645,0.0343379563228,0.678043843832,1.47483088166,0.04,0.0213225903696,0.355507289671,0.27678776013,0.313275148801,0.215949123517,0.364249217269,0.733914488857,0.653807576968,0.224579671024,0.516597595418,0.286144625281,-0.634289801085,0.495093791556,0.00389965265383,0,1,1.24263544436,1,0,4.16512649417e-17,4.76014456477e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
7,2034,0.0709452248035,1.18786113954,1.18786113954,1.18786113954,1.2250811017,1.03133359693,0.019689248157,0.545946292094,0.95889977701,0.22177363062,3.36940042704,0,0,0,0,0.276629750959,0,0,0.0992683507559,0.117917016249,0.0383906050252,0.0246729836015,0.0137176214237,0.0382268613636,0.670108751052,1.49229509155,0.04,0.0212532712247,0.355461806286,0.276629750959,0.315020355985,0.215752005229,0.366043630054,0.734430814814,0.654256886167,0.224737571538,0.530653002324,0.29464358749,-0.606894891513,0.507586092563,0.00380564194872,0,1,1.46698078989,1,0,-8.77924370571e-17,9.06244511557e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
8,2035,0.0862053699267,1.22588219289,1.22588219289,1.22588219289,1.28988029294,1.05220575062,0.0202380236159,0.538621422435,0.950059219112,0.222155134248,3.43957242455,0,0,0,0,0.276490477315,0,0,0.101426552413,0.124337004488,0.0405720295583,0.0270888110123,0.013483218546,0.0425627049958,0.663533581499,1.50708272781,0.04,0.0211852138178,0.355457096253,0.276490477315,0.317062506874,0.215635954461,0.368030766915,0.734862967629,0.65472255619,0.224922974834,0.546904797266,0.303954212988,-0.578009260101,0.52269987785,0.00370785072105,0,1,1.69848275192,1,0,-7.53128140545e-17,4.30358937454e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
9,2036,0.103001941447,1.26742004108,1.26742004108,1.26742004108,1.36060472949,1.07352312997,0.0202597061807,0.530559068105,0.940328573577,0.222575048536,3.51529415624,0,0,0,0,0.274223072742,0,0,0.101190664867,0.128251076624,0.04259896389,0.0292842630575,0.0133147008325,0.046553673959,0.658327270132,1.51900133166,0.0400714070848,0.0211665985994,0.352732533508,0.274223072742,0.316822036632,0.215631371765,0.372099953949,0.735346797875,0.65524526453,0.225138957327,0.56364511468,0.314256681141,-0.548976211825,0.538118285406,0.00382074459863,0,1,1.9382813406,1,0,1.37696225321e-16,-1.63195526307e-16,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
10,2037,0.121389218408,1.31285775012,1.31285775012,1.31285775012,1.4375744945,1.09499638812,0.020002604087,0.521733175164,0.92967639529,0.22303473046,3.59718938129,0,0,0,0,0.269387365958,0,0,0.0986193338312,0.129473156732,0.0449176917321,0.0317454765426,0.0131722151895,0.0509493195343,0.654824976578,1.52712562252,0.0400779118542,0.0211405048452,0.346717384314,0.269387365958,0.31430505769,0.215685723858,0.378324189958,0.735923825577,0.655822427598,0.225376989668,0.582523867554,0.325624637237,-0.520279553557,0.551692842086,0.00413555058075,0,1,2.18761488421,1,0,-1.54457807769e-16,-1.15843355827e-16,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
11,2038,0.14139823101,1.36259896439,1.36259896439,1.36259896439,1.52252878108,1.11737115679,0.0204336460975,0.512128849115,0.91808470773,0.223534955775,3.68594651766,0,0,0,0,0.269043255221,0,0,0.100581814804,0.137052676688,0.0471331755004,0.0340807462901,0.0130524292102,0.0551212442506,0.652367701773,1.53287784984,0.0400007812261,0.0211106333305,0.346497575419,0.269043255221,0.316176430722,0.215594615918,0.381585282611,0.736292352539,0.656278695171,0.225575533422,0.604326248014,0.337849255205,-0.488366626316,0.569919299248,0.00410332641781,0,1,2.44781963236,1,2.22044604925e-16,0,-7.29196740595e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
12,2039,0.163031283134,1.41706175038,1.41706175038,1.41706175038,1.61635771822,1.14064028458,0.0208248867419,0.501744984096,0.905552176207,0.224075782078,3.78231894657,0,0,0,0,0.271111081473,0,0,0.103774814758,0.147055320647,0.0481757205585,0.0351529628383,0.0130227577202,0.057205983174,0.649650973149,1.53928808134,0.0401300938292,0.0211925140549,0.349404072217,0.271111081473,0.319286802032,0.215511987273,0.384148705672,0.736589509465,0.656732076765,0.225781777961,0.623769020066,0.351203027197,-0.45375809731,0.589094662138,0.00401662312675,0,1,2.7203259892,1,0,-1.45959270076e-16,6.86867153298e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
13,2040,0.186256836159,1.47667023149,1.47667023149,1.47667023149,1.71983247247,1.16466929162,0.0210662444307,0.490596718644,0.892097071779,0.224656420904,3.88712325884,0,0,0,0,0.273150674043,0,0,0.107148902284,0.158223594339,0.0494592732025,0.0364807874601,0.0129784857425,0.0597492934844,0.647045119398,1.5454872775,0.0402474660226,0.0212565409795,0.352296299869,0.273150674043,0.322609947245,0.215461044962,0.386953922415,0.736854142688,0.657191459464,0.225996018319,0.645558955206,0.365834380959,-0.417113728754,0.607353909352,0.00392403253716,0,1,3.00665051038,1,0,2.09800947929e-16,-3.22770689122e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
14,2041,0.211005241898,1.54184391583,1.54184391583,1.54184391583,1.8338570252,1.18939213391,0.021227349657,0.478717483889,0.877759743265,0.225275131047,4.0012349535,0,0,0,0,0.275391911888,0,0,0.110750022288,0.170759248042,0.0507851649864,0.0378623284593,0.0129228365271,0.0623953293773,0.644675832566,1.55116719052,0.0403198733292,0.0212962243583,0.355470597272,0.275391911888,0.326177076875,0.215427054587,0.38992857799,0.73710723457,0.657665652144,0.226220354998,0.66988261391,0.381836212691,-0.378668101719,0.628584843702,0.0038245222245,0,1,3.30838281637,1,0,3.4053933473e-16,9.08104892613e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
15,2042,0.237165855518,1.61298480632,1.61298480632,1.61298480632,1.95925442638,1.21467630613,0.0212580624138,0.466160389351,0.862604289796,0.225861600763,4.12547218665,0.000112539844206,0.000112539844206,3.59487228025e-05,0,0.277989159317,3.59487228025e-05,5.28432900984e-05,0.114582474812,0.184819790942,0.0520138914466,0.0391426462745,0.0128712451721,0.064868544977,0.642557541558,1.55628085475,0.0403682048971,0.0213306719352,0.359094910665,0.277989159317,0.330003050763,0.215420575951,0.393019253691,0.737297558805,0.658108715988,0.226437098315,0.693894216772,0.399317290929,-0.338466553593,0.648488740087,0.00371703807336,0,0.999887460156,3.62719941073,1,2.22044604925e-16,-2.76244737395e-16,-2.83327935789e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
16,2043,0.264586041452,1.69044433616,1.69044433616,1.69044433616,2.09665698945,1.24029933704,0.0210945342249,0.452998700103,0.846719136716,0.226303937798,4.26049806535,0.00062977930431,0.00062977930431,0.000208472257576,0,0.28066010574,0.000208472257576,0.000323213637008,0.11844138406,0.200218566851,0.0532363538545,0.0404141358026,0.0128222180519,0.0673066260741,0.640862236679,1.56039776221,0.0403774187241,0.0213544151996,0.36275240298,0.28066010574,0.333896459595,0.215455075535,0.396330625559,0.737260650412,0.658377293463,0.226590647098,0.723586909226,0.41838756663,-0.296565105786,0.680640729042,0.00360970027832,0,0.999370220696,3.9648117088,1,-1.11022302463e-16,0,-1.05904115953e-16,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
17,2044,0.293072490725,1.77449132105,1.77449132105,1.77449132105,2.24699902403,1.26627783262,0.0209453434414,0.439325204452,0.830216272421,0.226637652417,4.40703472867,0.00177544787755,0.00177544787755,0.000608818728181,0,0.283289897375,0.000608818728181,0.00102013287174,0.122280039775,0.216984869319,0.0544767023941,0.0417035690004,0.0127731333936,0.0697403367281,0.639687045378,1.56326442317,0.0403283602675,0.0213603450567,0.366309399805,0.283289897375,0.337766599769,0.215486559994,0.399791435353,0.736867077848,0.658361295986,0.226635897376,0.754211793879,0.439078007653,-0.253124098243,0.708446555419,0.00349971367776,0,0.998224552122,4.32277916829,1,0,-1.2352286458e-16,4.9409145832e-17,5.55111512313e-16,0,B6: SSM hybrid,ok,baseline
18,2045,0.322395092313,1.86533292686,1.86533292686,1.86533292686,2.41128320111,1.29268248386,0.0208521783723,0.42525035569,0.813229005593,0.226901555831,4.56585958819,0.00369728560518,0.00369728560518,0.00131365297354,0,0.286214905141,0.00131365297354,0.00231633581774,0.126140386623,0.235293816573,0.0554317072225,0.0426859478521,0.0127457593704,0.0716081923213,0.638790198894,1.56545920982,0.0402836030324,0.0213817622474,0.370217929294,0.286214905141,0.341646612363,0.215506225741,0.403196876316,0.73604983163,0.658006623182,0.22654865785,0.782500013404,0.461426843081,-0.20829171729,0.734600835307,0.00338500790672,0,0.996302714395,4.70247227198,1,-1.11022302463e-16,2.302141499e-17,-9.20856599601e-17,4.4408920985e-16,0,B6: SSM hybrid,ok,baseline
19,2046,0.352293356219,1.96310186284,1.96310186284,1.96310186284,2.59027871757,1.31948258346,0.0207321596268,0.410899189015,0.795908244161,0.227170640206,4.73786711987,0.0064052442091,0.0064052442091,0.00236049730803,0,0.288296517246,0.00236049730803,0.00440936472452,0.128914095468,0.25307150096,0.0561491434078,0.0434110713724,0.0127380720354,0.0730029713368,0.638059077851,1.56725299383,0.0402556535117,0.021421196904,0.373040327199,0.288296517246,0.344445660654,0.215531565186,0.40735531095,0.734890967238,0.657369478322,0.226349458487,0.811639402998,0.485528746954,-0.162992341717,0.763110986669,0.00336220726412,0,0.993594755791,5.10502115088,1,0,9.64375682224e-17,0,1.11022302463e-15,0,B6: SSM hybrid,ok,baseline
20,2047,0.382485101996,2.06785735097,2.06785735097,2.06785735097,2.78536685888,1.34698211053,0.0208411444089,0.396407151042,0.778417461838,0.227442365918,4.92391346097,0.00989980556786,0.00989980556786,0.00378385703793,0,0.291587034963,0.00378385703793,0.00740198472276,0.132811397314,0.274635024229,0.0567329174337,0.0439939556034,0.0127389618303,0.0741426367656,0.637363135911,1.56896428999,0.040219647888,0.02146886332,0.377430785872,0.291587034963,0.348319952396,0.215508555082,0.410352811306,0.73326598605,0.656364597754,0.226006374012,0.843624698042,0.511240629543,-0.116224840302,0.793196376828,0.00322651283035,0,0.990100194432,5.53135207117,1,0,-9.96478274563e-17,7.9718261965e-17,1.33226762955e-15,0,B6: SSM hybrid,ok,baseline
21,2048,0.412676847773,2.17955480505,2.17955480505,2.17955480505,2.99723959902,1.37516138254,0.0209203016058,0.381915113069,0.760926679515,0.22771409163,5.1247939959,0.0141717850809,0.0141717850809,0.00561335472029,0,0.295263201829,0.00561335472029,0.0115898153267,0.136641123562,0.297816817426,0.056869767329,0.0441048694055,0.0127648979235,0.0744626790484,0.636413257569,1.57130604698,0.0402523433227,0.0215511010457,0.38232369467,0.295263201829,0.352132969158,0.215491845597,0.413024925987,0.73122469964,0.655027620479,0.225532759066,0.877695953599,0.538658283618,-0.0684863646872,0.824753227098,0.00308570280379,0,0.985828214919,5.98214085546,1,0,-3.42634035034e-16,-1.11124551903e-16,4.4408920985e-16,0,B6: SSM hybrid,ok,baseline
22,2049,0.442575111679,2.29804177335,2.29804177335,2.29804177335,3.22636643533,1.40396335382,0.0209444299759,0.367563946394,0.743605918083,0.227983176005,5.34122121822,0.0192025355956,0.0192025355956,0.00787204217854,0,0.29861222017,0.00787204217854,0.0171886227932,0.140109155833,0.321976692933,0.0569836884578,0.0441999498744,0.0127837385834,0.074760945944,0.635417052819,1.5737695354,0.0402760904817,0.021622748259,0.386794964681,0.29861222017,0.355595908628,0.215486752795,0.415621097175,0.728790827331,0.65336686397,0.224930380713,0.91742485304,0.567766825038,-0.0202498684054,0.858118168497,0.00295895372805,0,0.980797464404,6.45777245347,1,0,1.6345196594e-16,0,8.881784197e-16,0,B6: SSM hybrid,ok,baseline
