input,output,spearman_rho
dilution_cap,mvi_gdp,-0.0547269384562
liquidity_elasticity,mvi_gdp,0.0428909931804
money_gdp,mvi_gdp,-0.136285072006
income_floor,mvi_gdp,0.842727316368
speed,mvi_gdp,0.0123453258994
midpoint,mvi_gdp,0.162938842388
ai_gain,mvi_gdp,-0.0229106813052
resource_growth,mvi_gdp,-0.00465310614567
excluded_fraction,mvi_gdp,0.231235909591
dilution_investment_penalty,mvi_gdp,-0.10398805112
dilution_cap,gini_wealth,-0.762612158945
liquidity_elasticity,gini_wealth,-0.0177337026186
money_gdp,gini_wealth,-0.130327549899
income_floor,gini_wealth,-0.183334096319
speed,gini_wealth,-0.0562282548984
midpoint,gini_wealth,0.417053882073
ai_gain,gini_wealth,-0.0517247299029
resource_growth,gini_wealth,0.0457162149789
excluded_fraction,gini_wealth,0.0521996887017
dilution_investment_penalty,gini_wealth,0.0566459897455
dilution_cap,tax_gdp,-0.0513871085882
liquidity_elasticity,tax_gdp,0.057252563633
money_gdp,tax_gdp,-0.277158487457
income_floor,tax_gdp,0.827807407068
speed,tax_gdp,0.0195934810474
midpoint,tax_gdp,0.146733656839
ai_gain,tax_gdp,-0.0484744094488
resource_growth,tax_gdp,-0.0272729353598
excluded_fraction,tax_gdp,0.219722807178
dilution_investment_penalty,tax_gdp,-0.124696713056
dilution_cap,real_gdp,-0.0266720838674
liquidity_elasticity,real_gdp,0.0445717359458
money_gdp,real_gdp,-0.0315418421535
income_floor,real_gdp,0.0838845907343
speed,real_gdp,-0.197519913935
midpoint,real_gdp,-0.0746715345175
ai_gain,real_gdp,0.451382530672
resource_growth,real_gdp,0.735917185497
excluded_fraction,real_gdp,-0.0112673960813
dilution_investment_penalty,real_gdp,0.031215665629
dilution_cap,max_inflation,-0.0706315235305
liquidity_elasticity,max_inflation,0.145955411097
money_gdp,max_inflation,-0.124502151621
income_floor,max_inflation,-0.00507576451199
speed,max_inflation,0.742623832631
midpoint,max_inflation,-0.0418650430324
ai_gain,max_inflation,-0.0661852224867
resource_growth,max_inflation,-0.227785661967
excluded_fraction,max_inflation,0.0562797564549
dilution_investment_penalty,max_inflation,-0.251819721663
